item,phasetype,max_time,text,shuffle_1,survey,left_back,right_back,lock_img,block_lock_img,lock_time,left_color,right_color,left_type,right_type,left_instruction,right_instruction,
0,survey,,,off,cam_info,,,,,,,,,,,,
0,survey,,,off,cam_consent,,,,,,,,,,,,
0,survey,,,off,cam_demographics,,,,,,,,,,,,
0,instruct,,"<span style=""font-size:20px""><b>You will see two boxes with locks</span></b><br>
<br>
<span style=""font-size:20px""><b>These boxes are linked with the same set of videos </span></b><br>
<br>
<span style=""font-size:20px""><b> However, one box opens at the same delay (3 seconds) while the other opens at a variable delay (0,3,6 seconds). </span></b><br><br>
<span style=""font-size:20px""><b>Open the locks to see a video</span></b><br>
<span style=""font-size:20px""><b>You can choose freely which locks to open</span></b><br><br>
<span style=""font-size:20px""><b>Press the <u class=>Z</u> key once for each lock on the <u>left box</u> to unlock it</span></b><br><br>
<span style=""font-size:20px""><b>Press the <u>M</u> key once for each lock on the <u>right box</u> to unlock it</span></b><br><br>
<span style=""font-size:20px""><b>Wait until a lock has disappeared before you try to open another lock</span></b><br><br>
<span style=""font-size:20px""><b>You cannot change your mind about which video you want to choose once you've opened a lock</span></b>",off,,,,,,,,,,,,,
2 to 31,cam_uncertainty,,,trial,,../User/Stimuli/cam/pink.jpg,../User/Stimuli/cam/green.jpg,../User/Stimuli/cam/lock1.jpg,../User/Stimuli/cam/lock1_crossed_out.jpg,1000,pink,green,certain,uncertain,Press Z to unlock,Press M to unlock,
32 to 61,cam_uncertainty,,,trial,,../User/Stimuli/cam/green.jpg,../User/Stimuli/cam/pink.jpg,../User/Stimuli/cam/lock1.jpg,../User/Stimuli/cam/lock1_crossed_out.jpg,1000,green,pink,uncertain,certain,Press Z to unlock,Press M to unlock,
0,survey,,,off,scarred_survey,,,,,,,,,,,,
0,survey,,,off,intolerance to uncertainty.csv,,,,,,,,,,,,
0,instruct,,"<span style=""font-size:40px""><b>Click on ""Proceed"" to save your data. </span></b><br><br> 
<span style=""font-size:25px""><b>You will receive a debrief of this study in an email.</span></b><br><br>
<span style=""font-size:25px""><b>You've completed this part of the study! </span></b><br><br>
<span style=""font-size:25px""><b>Please proceed, and DO NOT CLOSE THE WINDOW before you have received confirmation that the data has been successfully submitted </span></b>",off,,,,,,,,,,,,,
